field;option_set;is_global;value;label
cr56f_2halluxvalgusrf;cr56f_wpp_46810;true;979580000;4
cr56f_2halluxvalgusrf;cr56f_wpp_46810;true;979580001;6
cr56f_2halluxvalgusrf;cr56f_wpp_46810;true;979580002;8
cr56f_2halluxvalgusrf;cr56f_wpp_46810;true;979580003;10
cr56f_2hammertoelf;cr56f_wpp_46810;true;979580000;4
cr56f_2hammertoelf;cr56f_wpp_46810;true;979580001;6
cr56f_2hammertoelf;cr56f_wpp_46810;true;979580002;8
cr56f_2hammertoelf;cr56f_wpp_46810;true;979580003;10
cr56f_2hammertoerf;cr56f_wpp_46810;true;979580000;4
cr56f_2hammertoerf;cr56f_wpp_46810;true;979580001;6
cr56f_2hammertoerf;cr56f_wpp_46810;true;979580002;8
cr56f_2hammertoerf;cr56f_wpp_46810;true;979580003;10
cr56f_2heeldepthonlylf;cr56f_wpp_2468;true;979580000;2
cr56f_2heeldepthonlylf;cr56f_wpp_2468;true;979580001;4
cr56f_2heeldepthonlylf;cr56f_wpp_2468;true;979580002;6
cr56f_2heeldepthonlylf;cr56f_wpp_2468;true;979580003;8
cr56f_2heeldepthonlyrf;cr56f_wpp_2468;true;979580000;2
cr56f_2heeldepthonlyrf;cr56f_wpp_2468;true;979580001;4
cr56f_2heeldepthonlyrf;cr56f_wpp_2468;true;979580002;6
cr56f_2heeldepthonlyrf;cr56f_wpp_2468;true;979580003;8
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580001;1
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580002;2
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580003;3
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580004;4
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580005;5
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580006;6
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580007;7
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580008;8
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580009;9
cr56f_2pesplanusaddaptionlf;cr56f_wpp_110;true;979580010;10
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580001;1
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580002;2
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580003;3
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580004;4
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580005;5
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580006;6
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580007;7
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580008;8
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580009;9
cr56f_2pesplanusaddaptionrf;cr56f_wpp_110;true;979580010;10
cr56f_2rockersoletypeslf;cr56f_wpp_rocker_sole;true;979580000;Normal Rocker
cr56f_2rockersoletypeslf;cr56f_wpp_rocker_sole;true;979580001;Advancing Rocker
cr56f_2rockersoletypeslf;cr56f_wpp_rocker_sole;true;979580002;Polyphase Rocker
cr56f_2rockersoletypeslf;cr56f_wpp_rocker_sole;true;979580003;Delaying Rocker
cr56f_2rockersoletypeslf;cr56f_wpp_rocker_sole;true;979580004;2-Phase Rocker
cr56f_2rockersoletypesrf;cr56f_wpp_rocker_sole;true;979580000;Normal Rocker
cr56f_2rockersoletypesrf;cr56f_wpp_rocker_sole;true;979580001;Advancing Rocker
cr56f_2rockersoletypesrf;cr56f_wpp_rocker_sole;true;979580002;Polyphase Rocker
cr56f_2rockersoletypesrf;cr56f_wpp_rocker_sole;true;979580003;Delaying Rocker
cr56f_2rockersoletypesrf;cr56f_wpp_rocker_sole;true;979580004;2-Phase Rocker
cr56f_2straightenheelcliplf;cr56f_wpp_2468;true;979580000;2
cr56f_2straightenheelcliplf;cr56f_wpp_2468;true;979580001;4
cr56f_2straightenheelcliplf;cr56f_wpp_2468;true;979580002;6
cr56f_2straightenheelcliplf;cr56f_wpp_2468;true;979580003;8
cr56f_2straightenheelcliprf;cr56f_wpp_2468;true;979580000;2
cr56f_2straightenheelcliprf;cr56f_wpp_2468;true;979580001;4
cr56f_2straightenheelcliprf;cr56f_wpp_2468;true;979580002;6
cr56f_2straightenheelcliprf;cr56f_wpp_2468;true;979580003;8
cr56f_2toeboxlf;cr56f_wpp_110;true;979580001;1
cr56f_2toeboxlf;cr56f_wpp_110;true;979580002;2
cr56f_2toeboxlf;cr56f_wpp_110;true;979580003;3
cr56f_2toeboxlf;cr56f_wpp_110;true;979580004;4
cr56f_2toeboxlf;cr56f_wpp_110;true;979580005;5
cr56f_2toeboxlf;cr56f_wpp_110;true;979580006;6
cr56f_2toeboxlf;cr56f_wpp_110;true;979580007;7
cr56f_2toeboxlf;cr56f_wpp_110;true;979580008;8
cr56f_2toeboxlf;cr56f_wpp_110;true;979580009;9
cr56f_2toeboxlf;cr56f_wpp_110;true;979580010;10
cr56f_2toeboxrf;cr56f_wpp_110;true;979580001;1
cr56f_2toeboxrf;cr56f_wpp_110;true;979580002;2
cr56f_2toeboxrf;cr56f_wpp_110;true;979580003;3
cr56f_2toeboxrf;cr56f_wpp_110;true;979580004;4
cr56f_2toeboxrf;cr56f_wpp_110;true;979580005;5
cr56f_2toeboxrf;cr56f_wpp_110;true;979580006;6
cr56f_2toeboxrf;cr56f_wpp_110;true;979580007;7
cr56f_2toeboxrf;cr56f_wpp_110;true;979580008;8
cr56f_2toeboxrf;cr56f_wpp_110;true;979580009;9
cr56f_2toeboxrf;cr56f_wpp_110;true;979580010;10
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580099;--
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580000;1
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580001;2
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580002;3
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580003;4
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580004;5
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580005;6
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580006;7
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580007;8
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580008;9
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580009;10
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580010;11
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580011;12
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580012;13
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580013;14
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580014;15
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580015;16
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580016;17
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580017;18
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580018;19
cr56f_3hf_laterallf;cr56f_wpp_120;true;979580019;20
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580099;--
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580000;1
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580001;2
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580002;3
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580003;4
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580004;5
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580005;6
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580006;7
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580007;8
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580008;9
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580009;10
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580010;11
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580011;12
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580012;13
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580013;14
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580014;15
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580015;16
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580016;17
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580017;18
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580018;19
cr56f_3hf_lateralrf;cr56f_wpp_120;true;979580019;20
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580099;--
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580000;1
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580001;2
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580002;3
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580003;4
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580004;5
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580005;6
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580006;7
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580007;8
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580008;9
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580009;10
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580010;11
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580011;12
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580012;13
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580013;14
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580014;15
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580015;16
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580016;17
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580017;18
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580018;19
cr56f_3hf_mediallf;cr56f_wpp_120;true;979580019;20
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580099;--
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580000;1
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580001;2
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580002;3
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580003;4
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580004;5
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580005;6
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580006;7
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580007;8
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580008;9
cr56f_3hf_medialrf;cr56f_wpp_120;true;979580009;10
